scorer,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000,DLC_resnet50_pupil-trackingMar26shuffle1_500000
bodyparts,north,north,north,east,east,east,south,south,south,west,west,west
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
42,103.55728912353516,60.98040008544922,1.0,153.4980010986328,65.19810485839844,1.0,144.67584228515625,112.37764739990234,1.0,104.18102264404297,104.9144515991211,1.0
43,103.55984497070312,61.06155776977539,1.0,153.77182006835938,65.55116271972656,1.0,145.10218811035156,112.45101165771484,1.0,104.24078369140625,105.1679458618164,1.0
44,103.53824615478516,60.7919807434082,1.0,153.35006713867188,65.20811462402344,1.0,144.9434356689453,112.39971923828125,1.0,104.24874114990234,105.22055053710938,1.0
45,103.427978515625,60.845699310302734,1.0,153.72433471679688,65.83794403076172,1.0,144.52499389648438,112.44676208496094,1.0,104.31362915039062,105.29124450683594,1.0
46,103.23481750488281,60.91761016845703,1.0,153.5449981689453,65.61392211914062,1.0,144.49374389648438,112.37458801269531,1.0,104.33812713623047,105.03153991699219,1.0
47,103.43128967285156,60.95448684692383,1.0,153.32119750976562,65.49644470214844,1.0,144.61549377441406,112.25408172607422,1.0,104.25191497802734,105.20610809326172,1.0
48,103.35931396484375,61.19930648803711,1.0,153.2943115234375,65.5036849975586,1.0,145.1540985107422,112.41332244873047,1.0,104.58074951171875,105.36517333984375,1.0
49,103.40377807617188,61.09666442871094,1.0,153.8444061279297,66.3711929321289,1.0,144.1297149658203,112.25897979736328,1.0,104.11151885986328,105.2841567993164,1.0
50,103.61837768554688,61.12955856323242,1.0,153.67706298828125,66.16233825683594,1.0,144.50926208496094,112.17507934570312,1.0,104.59188079833984,104.99272918701172,1.0
51,103.34297180175781,60.948490142822266,1.0,153.7974395751953,65.9646224975586,1.0,143.63882446289062,112.65105438232422,1.0,103.68915557861328,105.52616119384766,1.0
52,103.66674041748047,61.068382263183594,1.0,154.03477478027344,66.62808227539062,1.0,144.0752716064453,112.56165313720703,1.0,103.97569274902344,105.57658386230469,1.0
53,103.65003204345703,60.9903450012207,1.0,154.0566864013672,66.76911926269531,1.0,144.080078125,112.27754211425781,1.0,103.93441772460938,105.53718566894531,1.0
54,103.65718078613281,61.38099670410156,1.0,153.52137756347656,66.05896759033203,1.0,145.1000518798828,112.36753845214844,1.0,104.79045867919922,105.33133697509766,1.0
55,103.33683013916016,61.2215690612793,1.0,153.4728546142578,65.80567169189453,1.0,144.7729949951172,112.10919952392578,1.0,104.69866943359375,105.44857025146484,1.0
56,103.7831039428711,61.537357330322266,1.0,153.64305114746094,66.97733306884766,1.0,143.71022033691406,112.59561157226562,1.0,104.41493225097656,106.5025634765625,1.0
57,103.28778076171875,61.826751708984375,1.0,153.56698608398438,66.9642333984375,1.0,144.0165252685547,112.58009338378906,1.0,104.24210357666016,106.60122680664062,1.0
58,103.47543334960938,61.44807434082031,1.0,152.9868621826172,66.18418884277344,1.0,144.27247619628906,112.34321594238281,1.0,104.46434783935547,105.35639953613281,1.0
59,103.47543334960938,61.44807434082031,1.0,152.9868621826172,66.18418884277344,1.0,144.27247619628906,112.34321594238281,1.0,104.46434783935547,105.35639953613281,1.0
60,103.39585876464844,60.80078125,1.0,153.04052734375,65.83647918701172,1.0,144.08428955078125,111.96687316894531,1.0,104.66001892089844,105.22470092773438,1.0
61,103.3509521484375,59.402488708496094,1.0,153.1400146484375,64.39295959472656,1.0,143.678955078125,109.57633972167969,1.0,104.63806915283203,103.41487884521484,1.0
62,103.64752960205078,63.45111846923828,1.0,153.82716369628906,68.60336303710938,1.0,144.31271362304688,113.73485565185547,1.0,104.3166732788086,107.25725555419922,1.0
63,104.1725845336914,58.999977111816406,1.0,153.61767578125,64.26225280761719,1.0,144.7077178955078,108.91993713378906,1.0,105.00122833251953,102.60905456542969,1.0
64,104.24082946777344,58.42107009887695,1.0,153.87538146972656,64.1002197265625,1.0,144.3598175048828,108.42384338378906,1.0,104.25900268554688,101.3646011352539,1.0
65,104.28050994873047,58.74589920043945,1.0,154.22962951660156,64.42386627197266,1.0,144.12193298339844,108.46578216552734,1.0,104.27831268310547,101.66040802001953,1.0
66,104.28050994873047,58.74589920043945,1.0,154.22962951660156,64.42386627197266,1.0,144.12193298339844,108.46578216552734,1.0,104.27831268310547,101.66040802001953,1.0
67,104.06816101074219,59.9915885925293,1.0,153.82461547851562,64.79069519042969,1.0,144.43292236328125,110.36198425292969,1.0,104.6351089477539,102.99251556396484,1.0
68,103.89872741699219,60.78392791748047,1.0,154.4063262939453,65.54165649414062,1.0,145.28433227539062,111.24644470214844,1.0,105.09710693359375,103.84307861328125,1.0
69,103.89872741699219,60.78392791748047,1.0,154.4063262939453,65.54165649414062,1.0,145.28433227539062,111.24644470214844,1.0,105.09710693359375,103.84307861328125,1.0
70,103.8864517211914,60.8163948059082,1.0,154.41708374023438,65.41720581054688,1.0,145.510009765625,111.5396499633789,1.0,105.214111328125,104.49471282958984,1.0
71,104.30674743652344,60.44517135620117,1.0,154.5587921142578,65.84789276123047,1.0,145.3096923828125,111.60848999023438,1.0,104.9249038696289,104.04766082763672,1.0
72,105.61283874511719,60.471004486083984,1.0,155.2742462158203,66.4049072265625,1.0,145.72178649902344,112.67930603027344,1.0,104.59700012207031,104.2833480834961,1.0
73,106.60682678222656,60.431480407714844,1.0,156.1377410888672,67.86956787109375,1.0,146.26959228515625,114.02022552490234,1.0,104.66136169433594,104.80844116210938,1.0
74,104.03569793701172,59.35318374633789,1.0,154.3223114013672,64.1348648071289,1.0,146.21649169921875,112.0547103881836,1.0,104.34784698486328,104.10646057128906,1.0
75,104.03569793701172,59.35318374633789,1.0,154.3223114013672,64.1348648071289,1.0,146.21649169921875,112.0547103881836,1.0,104.34784698486328,104.10646057128906,1.0
76,104.92620086669922,59.13127517700195,1.0,155.70782470703125,65.13673400878906,1.0,146.46788024902344,112.95875549316406,1.0,104.75234985351562,104.24149322509766,1.0
77,105.05148315429688,58.47908401489258,1.0,155.65420532226562,64.0495834350586,1.0,147.35830688476562,113.01375579833984,1.0,104.79570770263672,103.6903305053711,1.0
78,105.05148315429688,58.47908401489258,1.0,155.65420532226562,64.0495834350586,1.0,147.35830688476562,113.01375579833984,1.0,104.79570770263672,103.6903305053711,1.0
79,106.23202514648438,58.35453414916992,1.0,156.57769775390625,64.4063949584961,1.0,148.3104705810547,113.84185028076172,1.0,104.63794708251953,103.85289001464844,1.0
80,106.23202514648438,58.35453414916992,1.0,156.57769775390625,64.4063949584961,1.0,148.3104705810547,113.84185028076172,1.0,104.63794708251953,103.85289001464844,1.0
81,105.71549987792969,58.170021057128906,1.0,156.6718292236328,64.22965240478516,1.0,148.5122528076172,113.95819091796875,1.0,105.09600830078125,103.86852264404297,1.0
82,107.77888488769531,58.778114318847656,1.0,161.2937469482422,66.20114135742188,1.0,152.3860321044922,115.25916290283203,1.0,106.87063598632812,105.8520278930664,1.0
83,107.77888488769531,58.778114318847656,1.0,161.2937469482422,66.20114135742188,1.0,152.3860321044922,115.25916290283203,1.0,106.87063598632812,105.8520278930664,1.0
84,106.79170227050781,56.80754852294922,1.0,160.5533447265625,63.2193603515625,1.0,151.5592803955078,112.73555755615234,1.0,106.57162475585938,103.37805938720703,1.0
85,106.735107421875,55.434207916259766,1.0,159.47848510742188,60.65737533569336,1.0,151.85670471191406,111.9808120727539,1.0,106.93101501464844,102.9032211303711,1.0
86,107.7406005859375,53.873687744140625,1.0,162.46041870117188,60.687381744384766,1.0,152.38912963867188,112.14533996582031,1.0,107.20014953613281,101.6242446899414,1.0
87,108.59481811523438,53.64118194580078,1.0,162.34410095214844,61.111961364746094,1.0,152.8590545654297,111.75215148925781,1.0,107.92697143554688,101.554443359375,1.0
